id_product;Ref;Id_group client;Qté minimum;Prix fixe
8140;2403633;47;1;30.7
8139;2403632;47;1;30.7
8138;2403631;47;1;30.7
8137;2403629;47;1;30.7
8136;2403625;47;1;30.7
8134;2403623;47;1;30.7
8133;2403621;47;1;30.7
8132;2403620;47;1;30.7
8131;2403619;47;1;30.7
8130;2403618;47;1;30.7
8128;2403613;47;1;30.7
8127;2403612;47;1;30.7
8126;2403611;47;1;30.7
8125;2403610;47;1;30.7
8124;2403609;47;1;30.7
8122;2403608;47;1;30.7
8121;2403605;47;1;30.7
8118;2403604;47;1;30.7
8117;2403601;47;1;30.7
8116;2403600;47;1;30.7
8115;2403599;47;1;30.7
8114;2403598;47;1;30.7
8113;2403596;47;1;30.7
8112;2403594;47;1;30.7
8111;2403593;47;1;30.7
8110;2403592;47;1;30.7
8109;2403591;47;1;30.7
8108;2403590;47;1;30.7
8106;2403588;47;1;30.7
8105;2403586;47;1;30.7
8104;2403585;47;1;30.7
8101;2403584;47;1;30.7
8100;2403583;47;1;30.7
8099;2403582;47;1;30.7
8098;2403581;47;1;30.7
8097;2403580;47;1;30.7
8096;2362784;47;1;30.7
8095;2362767;47;1;30.7
8094;2362756;47;1;30.7
8093;2362755;47;1;30.7
8092;2362755;47;1;30.7
8091;2362755;47;1;30.7
8090;2362746;47;1;30.7
8089;2362739;47;1;30.7
8088;2362730;47;1;30.7
8087;2362727;47;1;30.7
8086;2362719;47;1;30.7
8084;2362713;47;1;30.7
8082;2362704;47;1;30.7
8081;2362698;47;1;30.7
8080;2362696;47;1;30.7
8079;2362694;47;1;30.7
8078;2362692;47;1;30.7
8076;2329053;47;1;30.7
8075;2329052;47;1;30.7
8074;2329051;47;1;30.7
8073;2329048;47;1;30.7
8072;2329042;47;1;30.7
8071;2329042;47;1;30.7
8070;2329041;47;1;30.7
8069;2329040;47;1;30.7
8068;2329032;47;1;30.7
8067;2329017;47;1;30.7
8066;2329015;47;1;30.7
8065;2329002;47;1;30.7
8064;2329001;47;1;30.7
8063;2328999;47;1;30.7
8062;2328992;47;1;30.7
8061;2328979;47;1;30.7
8060;2328978;47;1;30.7
8059;2328975;47;1;30.7
8058;2328974;47;1;30.7
8057;2328973;47;1;30.7
8056;2328971;47;1;30.7
8140;2403633;19;1;33.77
8139;2403632;19;1;33.77
8138;2403631;19;1;33.77
8137;2403629;19;1;33.77
8136;2403625;19;1;33.77
8134;2403623;19;1;33.77
8133;2403621;19;1;33.77
8132;2403620;19;1;33.77
8131;2403619;19;1;33.77
8130;2403618;19;1;33.77
8128;2403613;19;1;33.77
8127;2403612;19;1;33.77
8126;2403611;19;1;33.77
8125;2403610;19;1;33.77
8124;2403609;19;1;33.77
8122;2403608;19;1;33.77
8121;2403605;19;1;33.77
8118;2403604;19;1;33.77
8117;2403601;19;1;33.77
8116;2403600;19;1;33.77
8115;2403599;19;1;33.77
8114;2403598;19;1;33.77
8113;2403596;19;1;33.77
8112;2403594;19;1;33.77
8111;2403593;19;1;33.77
8110;2403592;19;1;33.77
8109;2403591;19;1;33.77
8108;2403590;19;1;33.77
8106;2403588;19;1;33.77
8105;2403586;19;1;33.77
8104;2403585;19;1;33.77
8101;2403584;19;1;33.77
8100;2403583;19;1;33.77
8099;2403582;19;1;33.77
8098;2403581;19;1;33.77
8097;2403580;19;1;33.77
8096;2362784;19;1;33.77
8095;2362767;19;1;33.77
8094;2362756;19;1;33.77
8093;2362755;19;1;33.77
8092;2362755;19;1;33.77
8091;2362755;19;1;33.77
8090;2362746;19;1;33.77
8089;2362739;19;1;33.77
8088;2362730;19;1;33.77
8087;2362727;19;1;33.77
8086;2362719;19;1;33.77
8084;2362713;19;1;33.77
8082;2362704;19;1;33.77
8081;2362698;19;1;33.77
8080;2362696;19;1;33.77
8079;2362694;19;1;33.77
8078;2362692;19;1;33.77
8076;2329053;19;1;33.77
8075;2329052;19;1;33.77
8074;2329051;19;1;33.77
8073;2329048;19;1;33.77
8072;2329042;19;1;33.77
8071;2329042;19;1;33.77
8070;2329041;19;1;33.77
8069;2329040;19;1;33.77
8068;2329032;19;1;33.77
8067;2329017;19;1;33.77
8066;2329015;19;1;33.77
8065;2329002;19;1;33.77
8064;2329001;19;1;33.77
8063;2328999;19;1;33.77
8062;2328992;19;1;33.77
8061;2328979;19;1;33.77
8060;2328978;19;1;33.77
8059;2328975;19;1;33.77
8058;2328974;19;1;33.77
8057;2328973;19;1;33.77
8056;2328971;19;1;33.77
8140;2403633;31;1;32.24
8139;2403632;31;1;32.24
8138;2403631;31;1;32.24
8137;2403629;31;1;32.24
8136;2403625;31;1;32.24
8134;2403623;31;1;32.24
8133;2403621;31;1;32.24
8132;2403620;31;1;32.24
8131;2403619;31;1;32.24
8130;2403618;31;1;32.24
8128;2403613;31;1;32.24
8127;2403612;31;1;32.24
8126;2403611;31;1;32.24
8125;2403610;31;1;32.24
8124;2403609;31;1;32.24
8122;2403608;31;1;32.24
8121;2403605;31;1;32.24
8118;2403604;31;1;32.24
8117;2403601;31;1;32.24
8116;2403600;31;1;32.24
8115;2403599;31;1;32.24
8114;2403598;31;1;32.24
8113;2403596;31;1;32.24
8112;2403594;31;1;32.24
8111;2403593;31;1;32.24
8110;2403592;31;1;32.24
8109;2403591;31;1;32.24
8108;2403590;31;1;32.24
8106;2403588;31;1;32.24
8105;2403586;31;1;32.24
8104;2403585;31;1;32.24
8101;2403584;31;1;32.24
8100;2403583;31;1;32.24
8099;2403582;31;1;32.24
8098;2403581;31;1;32.24
8097;2403580;31;1;32.24
8096;2362784;31;1;32.24
8095;2362767;31;1;32.24
8094;2362756;31;1;32.24
8093;2362755;31;1;32.24
8092;2362755;31;1;32.24
8091;2362755;31;1;32.24
8090;2362746;31;1;32.24
8089;2362739;31;1;32.24
8088;2362730;31;1;32.24
8087;2362727;31;1;32.24
8086;2362719;31;1;32.24
8084;2362713;31;1;32.24
8082;2362704;31;1;32.24
8081;2362698;31;1;32.24
8080;2362696;31;1;32.24
8079;2362694;31;1;32.24
8078;2362692;31;1;32.24
8076;2329053;31;1;32.24
8075;2329052;31;1;32.24
8074;2329051;31;1;32.24
8073;2329048;31;1;32.24
8072;2329042;31;1;32.24
8071;2329042;31;1;32.24
8070;2329041;31;1;32.24
8069;2329040;31;1;32.24
8068;2329032;31;1;32.24
8067;2329017;31;1;32.24
8066;2329015;31;1;32.24
8065;2329002;31;1;32.24
8064;2329001;31;1;32.24
8063;2328999;31;1;32.24
8062;2328992;31;1;32.24
8061;2328979;31;1;32.24
8060;2328978;31;1;32.24
8059;2328975;31;1;32.24
8058;2328974;31;1;32.24
8057;2328973;31;1;32.24
8056;2328971;31;1;32.24
