ref;Prix spécial : Id_group client;Prix spécial : Qté minimum;Prix spécial : reduction;Prix spécial : Type de reduction;soldé
223130;1;1;50;percentage;oui
243740;1;1;10;percentage;oui
243750;1;1;10;percentage;oui
244020;1;1;10;percentage;oui
243770;1;1;10;percentage;oui
243960;1;1;10;percentage;oui
243860;1;1;10;percentage;oui
243930;1;1;10;percentage;oui
243830;1;1;10;percentage;oui
243900;1;1;10;percentage;oui
116;1;1;10;percentage;oui
243610;1;1;10;percentage;oui
243660;1;1;10;percentage;oui
239160;1;1;25;percentage;oui
238200;1;1;45;percentage;oui
236270;1;1;30;percentage;oui
236280;1;1;30;percentage;oui
202550;1;1;35;percentage;oui
235380;1;1;35;percentage;oui
174590;1;1;35;percentage;oui
225980;1;1;30;percentage;oui
231500;1;1;10;percentage;oui
226180;1;1;25;percentage;oui
231820;1;1;25;percentage;oui
231750;1;1;25;percentage;oui
231740;1;1;25;percentage;oui
241970;1;1;25;percentage;oui
202480;1;1;25;percentage;oui
202500;1;1;30;percentage;oui
202510;1;1;25;percentage;oui
244170;1;1;10;percentage;oui
244350;1;1;10;percentage;oui
244370;1;1;10;percentage;oui
244380;1;1;10;percentage;oui
244390;1;1;10;percentage;oui
244400;1;1;10;percentage;oui
244410;1;1;10;percentage;oui
244420;1;1;10;percentage;oui
244430;1;1;10;percentage;oui
244830;1;1;10;percentage;oui
244840;1;1;10;percentage;oui
244850;1;1;10;percentage;oui
244860;1;1;10;percentage;oui
244870;1;1;10;percentage;oui
244960;1;1;10;percentage;oui
244970;1;1;10;percentage;oui
244990;1;1;10;percentage;oui
174470;1;1;20;percentage;oui
174480;1;1;20;percentage;oui
174490;1;1;20;percentage;oui
174500;1;1;20;percentage;oui
174510;1;1;20;percentage;oui
174520;1;1;20;percentage;oui
174530;1;1;20;percentage;oui
174540;1;1;20;percentage;oui
168670;1;1;10;percentage;oui
168690;1;1;10;percentage;oui
120;1;1;20;percentage;oui
68901;1;1;10;percentage;oui
223220;1;1;15;percentage;oui
231400;1;1;15;percentage;oui
243720;1;1;10;percentage;oui
243730;1;1;10;percentage;oui
243760;1;1;10;percentage;oui
243890;1;1;10;percentage;oui
243780;1;1;10;percentage;oui
243810;1;1;10;percentage;oui
243940;1;1;10;percentage;oui
243920;1;1;10;percentage;oui
243840;1;1;10;percentage;oui
243850;1;1;10;percentage;oui
244000;1;1;10;percentage;oui
243990;1;1;10;percentage;oui
185880;1;1;10;percentage;oui
185870;1;1;10;percentage;oui
185950;1;1;10;percentage;oui
226450;1;1;10;percentage;oui
201820;1;1;10;percentage;oui
237800;1;1;10;percentage;oui
236990;1;1;10;percentage;oui
228260;1;1;10;percentage;oui
237000;1;1;10;percentage;oui
237050;1;1;10;percentage;oui
228270;1;1;10;percentage;oui
237030;1;1;20;percentage;oui
237020;1;1;15;percentage;oui
228280;1;1;10;percentage;oui
191760;1;1;10;percentage;oui
164570;1;1;10;percentage;oui
176270;1;1;10;percentage;oui
174840;1;1;10;percentage;oui
187640;1;1;10;percentage;oui
235660;1;1;10;percentage;oui
415270;1;1;15;percentage;oui
199260;1;1;10;percentage;oui
234340;1;1;15;percentage;oui
196360;1;1;15;percentage;oui
235400;1;1;15;percentage;oui
235700;1;1;15;percentage;oui
202570;1;1;10;percentage;oui
223020;1;1;10;percentage;oui
223030;1;1;10;percentage;oui
164750;1;1;10;percentage;oui
235360;1;1;10;percentage;oui
395;1;1;10;percentage;oui
243070;1;1;10;percentage;oui
226570;1;1;10;percentage;oui
174570;1;1;10;percentage;oui
244150;1;1;10;percentage;oui
244160;1;1;10;percentage;oui
174390;1;1;20;percentage;oui
174410;1;1;20;percentage;oui
168680;1;1;10;percentage;oui
176320;1;1;10;percentage;oui
528;1;1;10;percentage;oui
145;1;1;10;percentage;oui
154;1;1;10;percentage;oui
159;1;1;10;percentage;oui
126;1;1;10;percentage;oui
699;1;1;10;percentage;oui
785;1;1;10;percentage;oui
79701;1;1;10;percentage;oui
79801;1;1;10;percentage;oui
31002;1;1;10;percentage;oui
516;1;1;10;percentage;oui
957;1;1;10;percentage;oui
97001;1;1;10;percentage;oui
97101;1;1;10;percentage;oui
806;1;1;10;percentage;oui
840;1;1;10;percentage;oui
97380;1;1;10;percentage;oui
978;1;1;10;percentage;oui
678;1;1;10;percentage;oui
688;1;1;10;percentage;oui
97622;1;1;10;percentage;oui
867;1;1;10;percentage;oui
234020;1;1;10;percentage;oui
234010;1;1;10;percentage;oui
234130;1;1;10;percentage;oui
234140;1;1;10;percentage;oui
621;1;1;10;percentage;oui
623;1;1;10;percentage;oui
625;1;1;10;percentage;oui
621K;1;1;10;percentage;oui
623K;1;1;10;percentage;oui
625K;1;1;10;percentage;oui
694;1;1;10;percentage;oui
69401;1;1;10;percentage;oui
696;1;1;10;percentage;oui
692;1;1;10;percentage;oui
693;1;1;10;percentage;oui
223130;2;1;50;percentage;oui
243740;2;1;10;percentage;oui
243750;2;1;10;percentage;oui
244020;2;1;10;percentage;oui
243770;2;1;10;percentage;oui
243960;2;1;10;percentage;oui
243860;2;1;10;percentage;oui
243930;2;1;10;percentage;oui
243830;2;1;10;percentage;oui
243900;2;1;10;percentage;oui
116;2;1;10;percentage;oui
243610;2;1;10;percentage;oui
243660;2;1;10;percentage;oui
239160;2;1;25;percentage;oui
238200;2;1;45;percentage;oui
236270;2;1;30;percentage;oui
236280;2;1;30;percentage;oui
202550;2;1;35;percentage;oui
235380;2;1;35;percentage;oui
174590;2;1;35;percentage;oui
225980;2;1;30;percentage;oui
231500;2;1;10;percentage;oui
226180;2;1;25;percentage;oui
231820;2;1;25;percentage;oui
231750;2;1;25;percentage;oui
231740;2;1;25;percentage;oui
241970;2;1;25;percentage;oui
202480;2;1;25;percentage;oui
202500;2;1;30;percentage;oui
202510;2;1;25;percentage;oui
244170;2;1;10;percentage;oui
244350;2;1;10;percentage;oui
244370;2;1;10;percentage;oui
244380;2;1;10;percentage;oui
244390;2;1;10;percentage;oui
244400;2;1;10;percentage;oui
244410;2;1;10;percentage;oui
244420;2;1;10;percentage;oui
244430;2;1;10;percentage;oui
244830;2;1;10;percentage;oui
244840;2;1;10;percentage;oui
244850;2;1;10;percentage;oui
244860;2;1;10;percentage;oui
244870;2;1;10;percentage;oui
244960;2;1;10;percentage;oui
244970;2;1;10;percentage;oui
244990;2;1;10;percentage;oui
174470;2;1;20;percentage;oui
174480;2;1;20;percentage;oui
174490;2;1;20;percentage;oui
174500;2;1;20;percentage;oui
174510;2;1;20;percentage;oui
174520;2;1;20;percentage;oui
174530;2;1;20;percentage;oui
174540;2;1;20;percentage;oui
168670;2;1;10;percentage;oui
168690;2;1;10;percentage;oui
120;2;1;20;percentage;oui
68901;2;1;10;percentage;oui
223220;2;1;15;percentage;oui
231400;2;1;15;percentage;oui
243720;2;1;10;percentage;oui
243730;2;1;10;percentage;oui
243760;2;1;10;percentage;oui
243890;2;1;10;percentage;oui
243780;2;1;10;percentage;oui
243810;2;1;10;percentage;oui
243940;2;1;10;percentage;oui
243920;2;1;10;percentage;oui
243840;2;1;10;percentage;oui
243850;2;1;10;percentage;oui
244000;2;1;10;percentage;oui
243990;2;1;10;percentage;oui
185880;2;1;10;percentage;oui
185870;2;1;10;percentage;oui
185950;2;1;10;percentage;oui
226450;2;1;10;percentage;oui
201820;2;1;10;percentage;oui
237800;2;1;10;percentage;oui
236990;2;1;10;percentage;oui
228260;2;1;10;percentage;oui
237000;2;1;10;percentage;oui
237050;2;1;10;percentage;oui
228270;2;1;10;percentage;oui
237030;2;1;20;percentage;oui
237020;2;1;15;percentage;oui
228280;2;1;10;percentage;oui
191760;2;1;10;percentage;oui
164570;2;1;10;percentage;oui
176270;2;1;10;percentage;oui
174840;2;1;10;percentage;oui
187640;2;1;10;percentage;oui
235660;2;1;10;percentage;oui
415270;2;1;15;percentage;oui
199260;2;1;10;percentage;oui
234340;2;1;15;percentage;oui
196360;2;1;15;percentage;oui
235400;2;1;15;percentage;oui
235700;2;1;15;percentage;oui
202570;2;1;10;percentage;oui
223020;2;1;10;percentage;oui
223030;2;1;10;percentage;oui
164750;2;1;10;percentage;oui
235360;2;1;10;percentage;oui
395;2;1;10;percentage;oui
243070;2;1;10;percentage;oui
226570;2;1;10;percentage;oui
174570;2;1;10;percentage;oui
244150;2;1;10;percentage;oui
244160;2;1;10;percentage;oui
174390;2;1;20;percentage;oui
174410;2;1;20;percentage;oui
168680;2;1;10;percentage;oui
176320;2;1;10;percentage;oui
528;2;1;10;percentage;oui
145;2;1;10;percentage;oui
154;2;1;10;percentage;oui
159;2;1;10;percentage;oui
126;2;1;10;percentage;oui
699;2;1;10;percentage;oui
785;2;1;10;percentage;oui
79701;2;1;10;percentage;oui
79801;2;1;10;percentage;oui
31002;2;1;10;percentage;oui
516;2;1;10;percentage;oui
957;2;1;10;percentage;oui
97001;2;1;10;percentage;oui
97101;2;1;10;percentage;oui
806;2;1;10;percentage;oui
840;2;1;10;percentage;oui
97380;2;1;10;percentage;oui
978;2;1;10;percentage;oui
678;2;1;10;percentage;oui
688;2;1;10;percentage;oui
97622;2;1;10;percentage;oui
867;2;1;10;percentage;oui
234020;2;1;10;percentage;oui
234010;2;1;10;percentage;oui
234130;2;1;10;percentage;oui
234140;2;1;10;percentage;oui
621;2;1;10;percentage;oui
623;2;1;10;percentage;oui
625;2;1;10;percentage;oui
621K;2;1;10;percentage;oui
623K;2;1;10;percentage;oui
625K;2;1;10;percentage;oui
694;2;1;10;percentage;oui
69401;2;1;10;percentage;oui
696;2;1;10;percentage;oui
692;2;1;10;percentage;oui
693;2;1;10;percentage;oui
223130;3;1;50;percentage;oui
243740;3;1;10;percentage;oui
243750;3;1;10;percentage;oui
244020;3;1;10;percentage;oui
243770;3;1;10;percentage;oui
243960;3;1;10;percentage;oui
243860;3;1;10;percentage;oui
243930;3;1;10;percentage;oui
243830;3;1;10;percentage;oui
243900;3;1;10;percentage;oui
116;3;1;10;percentage;oui
243610;3;1;10;percentage;oui
243660;3;1;10;percentage;oui
239160;3;1;25;percentage;oui
238200;3;1;45;percentage;oui
236270;3;1;30;percentage;oui
236280;3;1;30;percentage;oui
202550;3;1;35;percentage;oui
235380;3;1;35;percentage;oui
174590;3;1;35;percentage;oui
225980;3;1;30;percentage;oui
231500;3;1;10;percentage;oui
226180;3;1;25;percentage;oui
231820;3;1;25;percentage;oui
231750;3;1;25;percentage;oui
231740;3;1;25;percentage;oui
241970;3;1;25;percentage;oui
202480;3;1;25;percentage;oui
202500;3;1;30;percentage;oui
202510;3;1;25;percentage;oui
244170;3;1;10;percentage;oui
244350;3;1;10;percentage;oui
244370;3;1;10;percentage;oui
244380;3;1;10;percentage;oui
244390;3;1;10;percentage;oui
244400;3;1;10;percentage;oui
244410;3;1;10;percentage;oui
244420;3;1;10;percentage;oui
244430;3;1;10;percentage;oui
244830;3;1;10;percentage;oui
244840;3;1;10;percentage;oui
244850;3;1;10;percentage;oui
244860;3;1;10;percentage;oui
244870;3;1;10;percentage;oui
244960;3;1;10;percentage;oui
244970;3;1;10;percentage;oui
244990;3;1;10;percentage;oui
174470;3;1;20;percentage;oui
174480;3;1;20;percentage;oui
174490;3;1;20;percentage;oui
174500;3;1;20;percentage;oui
174510;3;1;20;percentage;oui
174520;3;1;20;percentage;oui
174530;3;1;20;percentage;oui
174540;3;1;20;percentage;oui
168670;3;1;10;percentage;oui
168690;3;1;10;percentage;oui
120;3;1;20;percentage;oui
68901;3;1;10;percentage;oui
223220;3;1;15;percentage;oui
231400;3;1;15;percentage;oui
243720;3;1;10;percentage;oui
243730;3;1;10;percentage;oui
243760;3;1;10;percentage;oui
243890;3;1;10;percentage;oui
243780;3;1;10;percentage;oui
243810;3;1;10;percentage;oui
243940;3;1;10;percentage;oui
243920;3;1;10;percentage;oui
243840;3;1;10;percentage;oui
243850;3;1;10;percentage;oui
244000;3;1;10;percentage;oui
243990;3;1;10;percentage;oui
185880;3;1;10;percentage;oui
185870;3;1;10;percentage;oui
185950;3;1;10;percentage;oui
226450;3;1;10;percentage;oui
201820;3;1;10;percentage;oui
237800;3;1;10;percentage;oui
236990;3;1;10;percentage;oui
228260;3;1;10;percentage;oui
237000;3;1;10;percentage;oui
237050;3;1;10;percentage;oui
228270;3;1;10;percentage;oui
237030;3;1;20;percentage;oui
237020;3;1;15;percentage;oui
228280;3;1;10;percentage;oui
191760;3;1;10;percentage;oui
164570;3;1;10;percentage;oui
176270;3;1;10;percentage;oui
174840;3;1;10;percentage;oui
187640;3;1;10;percentage;oui
235660;3;1;10;percentage;oui
415270;3;1;15;percentage;oui
199260;3;1;10;percentage;oui
234340;3;1;15;percentage;oui
196360;3;1;15;percentage;oui
235400;3;1;15;percentage;oui
235700;3;1;15;percentage;oui
202570;3;1;10;percentage;oui
223020;3;1;10;percentage;oui
223030;3;1;10;percentage;oui
164750;3;1;10;percentage;oui
235360;3;1;10;percentage;oui
395;3;1;10;percentage;oui
243070;3;1;10;percentage;oui
226570;3;1;10;percentage;oui
174570;3;1;10;percentage;oui
244150;3;1;10;percentage;oui
244160;3;1;10;percentage;oui
174390;3;1;20;percentage;oui
174410;3;1;20;percentage;oui
168680;3;1;10;percentage;oui
176320;3;1;10;percentage;oui
528;3;1;10;percentage;oui
145;3;1;10;percentage;oui
154;3;1;10;percentage;oui
159;3;1;10;percentage;oui
126;3;1;10;percentage;oui
699;3;1;10;percentage;oui
785;3;1;10;percentage;oui
79701;3;1;10;percentage;oui
79801;3;1;10;percentage;oui
31002;3;1;10;percentage;oui
516;3;1;10;percentage;oui
957;3;1;10;percentage;oui
97001;3;1;10;percentage;oui
97101;3;1;10;percentage;oui
806;3;1;10;percentage;oui
840;3;1;10;percentage;oui
97380;3;1;10;percentage;oui
978;3;1;10;percentage;oui
678;3;1;10;percentage;oui
688;3;1;10;percentage;oui
97622;3;1;10;percentage;oui
867;3;1;10;percentage;oui
234020;3;1;10;percentage;oui
234010;3;1;10;percentage;oui
234130;3;1;10;percentage;oui
234140;3;1;10;percentage;oui
621;3;1;10;percentage;oui
623;3;1;10;percentage;oui
625;3;1;10;percentage;oui
621K;3;1;10;percentage;oui
623K;3;1;10;percentage;oui
625K;3;1;10;percentage;oui
694;3;1;10;percentage;oui
69401;3;1;10;percentage;oui
696;3;1;10;percentage;oui
692;3;1;10;percentage;oui
693;3;1;10;percentage;oui
