actif;afficher le prix;caractéristique Coloris;caractéristique Matière;caractéristique sous-couche;caractéristique configuration tapis;caractéristique type tapis;id_category(s);id_category_default;description courte FR;ean13 Valeur produit;tva;link_rewrite FR;meta_description FR;meta_title FR;nom FR;poids Valeur produit;prix TTC Valeur produit;quantité;référence
1;1;Anthracite;Moquette Tuft;Mousse;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div id=""short_description_block"" style=""padding: 0px; margin: 0px; font-family: Arial, Helvetica, sans-serif; font-size: 12px;""><p style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><strong>Les plus-produit :</strong></p><ul style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><li>Equipement complet : 2 tapis avant + 2 tapis arrière</li><li>Sous-couche en mousse pour une adhérence et un confort extrême</li><li>Moquette Tuft de qualité supérieure</li><li>Finition haute gamme</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe des tapis d'origine du constructeur.</li><li>Fabrication Européenne</li></ul></div>";3281690221808;20;tapis-renault-clio-3-prestige;Ce jeu de 4 tapis sur mesure est composé de 2 avants et 2 arrières. Moquette Tuft de haute densité avec ganse en similicuir. Livraison Gratuite.;Tapis Renault Clio 3 & Clio 3 Estate - De 2005 à 2012 - Prestige;Tapis Renault Clio 3 & Clio 3 Estate - De 2005 à 2012 - Prestige;2.5;49.9;100;221800
1;1;Anthracite;Moquette Tuft;Mousse;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div id=""short_description_block"" style=""padding: 0px; margin: 0px; font-family: Arial, Helvetica, sans-serif; font-size: 12px;""><p style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><strong>Les plus-produit :</strong></p><ul style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><li>Equipement complet : 2 tapis avant + 2 tapis arrière</li><li>Sous-couche en mousse pour une adhérence et un confort extrême</li><li>Moquette Tuft de qualité supérieure</li><li>Finition haute gamme</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe des tapis d'origine du constructeur.</li><li>Fabrication Européenne</li></ul></div>";3281690221891;20;tapis-renault-scenic-3-2009-2016-prestige;Ce jeu de 4 tapis sur mesure est composé de 2 avants et 2 arrières. Moquette Tuft de haute densité avec ganse en similicuir. Livraison Gratuite.;Tapis Renault Scenic 3 - De 2009 à 2016 - Prestige;Tapis Renault Scenic 3 - De 2009 à 2016 - Prestige;2.5;49.9;100;221890
1;1;Anthracite;Moquette Tuft;Mousse;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div id=""short_description_block"" style=""padding: 0px; margin: 0px; font-family: Arial, Helvetica, sans-serif; font-size: 12px;""><p style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><strong>Les plus-produit :</strong></p><ul style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><li>Equipement complet : 2 tapis avant + 2 tapis arrière</li><li>Sous-couche en mousse pour une adhérence et un confort extrême</li><li>Moquette Tuft de qualité supérieure</li><li>Finition haute gamme</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe des tapis d'origine du constructeur.</li><li>Fabrication Européenne</li></ul></div>";3281690231746;20;tapis-renault-scenic-4-2016-2021-prestige;Ce jeu de 4 tapis sur mesure est composé de 2 avants et 2 arrières. Moquette Tuft de haute densité avec ganse en similicuir. Livraison Gratuite.;Tapis Renault Scenic 4 - De 2016 à 2021 - Prestige;Tapis Renault Scenic 4 - De 2016 à 2021 - Prestige;2.5;49.9;100;231740
1;1;Anthracite;Moquette Tuft;Mousse;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div id=""short_description_block"" style=""padding: 0px; margin: 0px; font-family: Arial, Helvetica, sans-serif; font-size: 12px;""><p style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><strong>Les plus-produit :</strong></p><ul style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><li>Equipement complet : 2 tapis avant + 2 tapis arrière</li><li>Sous-couche en mousse pour une adhérence et un confort extrême</li><li>Moquette Tuft de qualité supérieure</li><li>Finition haute gamme</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe des tapis d'origine du constructeur.</li><li>Fabrication Européenne</li></ul></div>";3281690238127;20;tapis-renault-zoe-zoe-2-2013-prestige;Ce jeu de 4 tapis sur mesure est composé de 2 avants et 2 arrières. Moquette Tuft de haute densité avec ganse en similicuir. Livraison Gratuite.;Tapis Renault Zoe & Zoe 2 - De 2013 à ce jour - Prestige;Tapis Renault Zoe & Zoe 2 - De 2013 à ce jour - Prestige;2.5;49.9;100;238120
1;1;Anthracite;Moquette Tuft;Mousse;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div id=""short_description_block"" style=""padding: 0px; margin: 0px; font-family: Arial, Helvetica, sans-serif; font-size: 12px;""><p style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><strong>Les plus-produit :</strong></p><ul style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><li>Equipement complet : 2 tapis avant + 2 tapis arrière</li><li>Sous-couche en mousse pour une adhérence et un confort extrême</li><li>Moquette Tuft de qualité supérieure</li><li>Finition haute gamme</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe des tapis d'origine du constructeur.</li><li>Fabrication Européenne</li></ul></div>";3281690239728;20;tapis-skoda-octavia-4-2020-prestige;Ce jeu de 4 tapis sur mesure est composé de 2 avants et 2 arrières. Moquette Tuft de haute densité avec ganse en similicuir. Livraison Gratuite.;Tapis Skoda Octavia 4 - De 2020 à ce jour - Prestige;Tapis Skoda Octavia 4 - De 2020 à ce jour - Prestige;2.5;49.9;100;239720
1;1;Anthracite;Moquette Tuft;Mousse;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div id=""short_description_block"" style=""padding: 0px; margin: 0px; font-family: Arial, Helvetica, sans-serif; font-size: 12px;""><p style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><strong>Les plus-produit :</strong></p><ul style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><li>Equipement complet : 2 tapis avant + 2 tapis arrière</li><li>Sous-couche en mousse pour une adhérence et un confort extrême</li><li>Moquette Tuft de qualité supérieure</li><li>Finition haute gamme</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe des tapis d'origine du constructeur.</li><li>Fabrication Européenne</li></ul></div>";3281690241202;20;tapis-smart-for-two-2007-2014-prestige;Ce jeu de 4 tapis sur mesure est composé de 2 avants et 2 arrières. Moquette Tuft de haute densité avec ganse en similicuir. Livraison Gratuite.;Tapis Smart For Two - De 2007 à 2014 - Prestige;Tapis Smart For Two - De 2007 à 2014 - Prestige;2.5;49.9;100;241200
1;1;Anthracite;Moquette Tuft;Mousse;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div id=""short_description_block"" style=""padding: 0px; margin: 0px; font-family: Arial, Helvetica, sans-serif; font-size: 12px;""><p style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><strong>Les plus-produit :</strong></p><ul style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><li>Equipement complet : 2 tapis avant + 2 tapis arrière</li><li>Sous-couche en mousse pour une adhérence et un confort extrême</li><li>Moquette Tuft de qualité supérieure</li><li>Finition haute gamme</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe des tapis d'origine du constructeur.</li><li>Fabrication Européenne</li></ul></div>";3281690241219;20;tapis-smart-for-two-2-2014-prestige;Ce jeu de 4 tapis sur mesure est composé de 2 avants et 2 arrières. Moquette Tuft de haute densité avec ganse en similicuir. Livraison Gratuite.;Tapis Smart For Two 2 - De 2014 à ce jour - Prestige;Tapis Smart For Two 2 - De 2014 à ce jour - Prestige;2.5;49.9;100;241210
1;1;Anthracite;Moquette Tuft;Mousse;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div id=""short_description_block"" style=""padding: 0px; margin: 0px; font-family: Arial, Helvetica, sans-serif; font-size: 12px;""><p style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><strong>Les plus-produit :</strong></p><ul style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><li>Equipement complet : 2 tapis avant + 2 tapis arrière</li><li>Sous-couche en mousse pour une adhérence et un confort extrême</li><li>Moquette Tuft de qualité supérieure</li><li>Finition haute gamme</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe des tapis d'origine du constructeur.</li><li>Fabrication Européenne</li></ul></div>";3281690231807;20;tapis-volkswagen-polo-6-2017-prestige;Ce jeu de 4 tapis sur mesure est composé de 2 avants et 2 arrières. Moquette Tuft de haute densité avec ganse en similicuir. Livraison Gratuite.;Tapis Volkswagen Polo 6 - De 2017 à ce jour - Prestige;Tapis Volkswagen Polo 6 - De 2017 à ce jour - Prestige;2.5;49.9;100;231800
1;1;Anthracite;Moquette Tuft;Mousse;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div id=""short_description_block"" style=""padding: 0px; margin: 0px; font-family: Arial, Helvetica, sans-serif; font-size: 12px;""><p style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><strong>Les plus-produit :</strong></p><ul style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><li>Equipement complet : 2 tapis avant + 2 tapis arrière</li><li>Sous-couche en mousse pour une adhérence et un confort extrême</li><li>Moquette Tuft de qualité supérieure</li><li>Finition haute gamme</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe des tapis d'origine du constructeur.</li><li>Fabrication Européenne</li></ul></div>";3281690239889;20;tapis-volkswagen-tiguan-2-2016-prestige;Ce jeu de 4 tapis sur mesure est composé de 2 avants et 2 arrières. Moquette Tuft de haute densité avec ganse en similicuir. Livraison Gratuite.;Tapis Volkswagen Tiguan 2 - De 2016 à ce jour - Prestige;Tapis Volkswagen Tiguan 2 - De 2016 à ce jour - Prestige;2.5;49.9;100;239880
1;1;Anthracite;Moquette Tuft;Mousse;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div id=""short_description_block"" style=""padding: 0px; margin: 0px; font-family: Arial, Helvetica, sans-serif; font-size: 12px;""><p style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><strong>Les plus-produit :</strong></p><ul style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><li>Equipement complet : 2 tapis avant + 2 tapis arrière</li><li>Sous-couche en mousse pour une adhérence et un confort extrême</li><li>Moquette Tuft de qualité supérieure</li><li>Finition haute gamme</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe des tapis d'origine du constructeur.</li><li>Fabrication Européenne</li></ul></div>";3281690239735;20;tapis-volkswagen-touran-2003-prestige;Ce jeu de 4 tapis sur mesure est composé de 2 avants et 2 arrières. Moquette Tuft de haute densité avec ganse en similicuir. Livraison Gratuite.;Tapis Volkswagen Touran - De 2003 à ce jour - Prestige;Tapis Volkswagen Touran - De 2003 à ce jour - Prestige;2.5;49.9;100;239730
1;1;Anthracite;Moquette Tuft;Mousse;2 avants + 2 arrières;Sur Mesure;1829;1829;"<div id=""short_description_block"" style=""padding: 0px; margin: 0px; font-family: Arial, Helvetica, sans-serif; font-size: 12px;""><p style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><strong>Les plus-produit :</strong></p><ul style=""font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11px;""><li>Equipement complet : 2 tapis avant + 2 tapis arrière</li><li>Sous-couche en mousse pour une adhérence et un confort extrême</li><li>Moquette Tuft de qualité supérieure</li><li>Finition haute gamme</li><li>S'adapte aux systèmes de fixation d'origine constructeur</li><li>Similaire à la coupe des tapis d'origine du constructeur.</li><li>Fabrication Européenne</li></ul></div>";3281690231814;20;tapis-volkswagen-t-roc-2017-prestige;Ce jeu de 4 tapis sur mesure est composé de 2 avants et 2 arrières. Moquette Tuft de haute densité avec ganse en similicuir. Livraison Gratuite.;Tapis Volkswagen T-Roc - De 2017 à ce jour - Prestige;Tapis Volkswagen T-Roc - De 2017 à ce jour - Prestige;2.5;49.9;100;231810
