Product ID;RÃ©fÃ©rence;Quantités
8411;251070;2384
8410;251080;2383
8408;251110;5860
8407;251120;2863
8403;251060;2388
8401;251050;2905
8400;251040;2931
8399;251030;1401
8398;251020;1440
8397;250990;3145
8396;250980;1808
8395;251010;1870
8394;251000;1889
8393;250970;0
8389;239140;47
8387;226680;1802
8386;237010;240
8384;235310;1970
8383;235330;18
8381;235320;446
8380;163;1166
8379;162;2762
8378;161;832
8377;157;1560
8376;152;467
8375;173;0
8374;172;4974
8373;236980;114
8359;99301;425
8358;69942;2741
8357;71903;3367
8356;251380;2404
8355;241820;729
8354;63501;2020
8352;99302;572
8351;69941;6710
8350;742;63
8348;239730;16
8347;239880;12
8346;241210;19
8345;241200;19
8344;239720;4
8343;238120;0
8341;238090;15
8340;239870;28
8339;239750;13
8338;239740;17
8337;238110;7
8336;239830;27
8335;239780;11
8334;241330;28
8333;241190;26
8332;239770;4
8331;239860;6
8330;239800;9
8329;239840;13
8328;239760;5
8327;239790;6
8326;250570;49
8325;250770;47
8324;250560;39
8323;250670;24
8322;250660;23
8321;250640;58
8320;250590;33
8319;250680;57
8318;250820;30
8317;250550;47
8316;250580;58
8315;250830;12
8314;250760;23
8313;250530;23
8312;250750;49
8311;250700;44
8310;250610;26
8309;250710;24
8308;250600;28
8307;250540;29
8306;250790;25
8305;250520;44
8304;250650;13
8303;248670;27
8301;247280;142
8300;247270;57
8299;247230;429
8298;247220;29
8297;247210;367
8296;247200;660
8295;247170;265
8294;247160;453
8293;247150;487
8292;247140;0
8291;247130;145
8290;247120;55
8289;247110;800
8288;247100;55
8287;247090;608
8286;247080;1015
8285;247070;65
8283;247060;859
8282;247030;550
8281;247020;113
8280;247010;993
8279;247490;496
8277;247460;1120
8276;247260;50
8274;246980;73
8273;246970;219
8271;247000;2113
8270;247190;86
8269;247500;1388
8267;247540;1388
8265;247530;2038
8264;247480;435
8263;247300;1168
8262;247240;326
8260;247510;895
8257;247050;643
8256;247040;400
8255;246990;51
8252;246940;466
8251;246930;1022
8250;247560;902
8249;247470;1934
8248;247450;1315
8247;247420;873
8246;239810;15
8245;581400;36758
8244;161031;113
8243;161029;70
8241;161028;169
8240;151031;228
8238;151029;171
8237;151028;143
8235;141031;252
8234;131031;89
8233;141029;145
8230;141028;59
8229;131029;47
8227;131028;120
8226;69940;4250
8223;654;3090
8215;902560;9
8214;902550;9
8213;902540;17
8212;902530;18
8211;902520;19
8210;902510;18
8209;902500;18
8208;902490;19
8207;902480;18
8206;902470;19
8205;902460;71
8204;902450;46
8203;902440;79
8202;902430;82
8201;902420;71
8200;902410;11
8199;902400;80
8198;902390;137
8197;902380;101
8196;902370;20
8195;902360;96
8194;902350;108
8193;902340;76
8192;902330;79
8191;902320;30
8190;902310;64
8189;902300;65
8188;902290;77
8187;902280;72
8186;902270;186
8185;902260;63
8184;902250;0
8183;902240;66
8182;902230;8
8181;902220;87
8180;902210;40
8179;902200;15
8178;902190;45
8177;902180;64
8176;902170;51
8173;902140;59
8172;902130;86
8171;902120;247
8170;902110;184
8169;902100;298
8167;902080;207
8166;902070;114
8163;902040;112
8153;902000;42
8148;987;2788
8147;106;1814
8140;2403633;10
8139;2403632;8
8138;2403631;7
8137;2403629;4
8136;2403625;10
8134;2403623;0
8133;2403621;0
8132;2403620;10
8131;2403619;9
8130;2403618;10
8128;2403613;9
8127;2403612;7
8126;2403611;7
8125;2403610;9
8124;2403609;9
8122;2403608;6
8121;2403605;9
8118;2403604;7
8117;2403601;12
8116;2403600;5
8115;2403599;6
8114;2403598;6
8113;2403596;8
8112;2403594;10
8111;2403593;10
8110;2403592;10
8109;2403591;10
8108;2403590;9
8106;2403588;10
8105;2403586;8
8104;2403585;10
8101;2403584;10
8100;2403583;10
8099;2403582;4
8098;2403581;7
8097;2403580;10
8096;2362784;8
8095;2362767;9
8094;2362756;10
8093;2362755;0
8092;2362755;0
8091;2362755;0
8090;2362746;9
8089;2362739;7
8088;2362730;5
8087;2362727;5
8086;2362719;10
8084;2362713;10
8082;2362704;9
8081;2362698;8
8080;2362696;8
8079;2362694;9
8078;2362692;6
8076;2329053;10
8075;2329052;9
8074;2329051;7
8073;2329048;6
8072;2329042;10
8071;2329042;10
8070;2329041;7
8069;2329040;8
8068;2329032;5
8067;2329017;10
8066;2329015;10
8065;2329002;16
8064;2329001;10
8063;2328999;9
8062;2328992;8
8061;2328979;8
8060;2328978;8
8059;2328975;8
8058;2328974;6
8057;2328973;10
8056;2328971;10
8055;222590;391
8054;97622;19
8053;97621;0
8052;170;6019
8051;151;2569
8050;150;3342
8047;201940;1954
8046;146;5482
8045;236540;1511
8043;238200;143
8042;235700;378
8041;227340;1607
8040;239160;192
8036;233960;87
8034;233900;928
8030;236370;90
8028;AMBPR014;9987
8027;244440;274
8026;244870;96
8025;244860;132
8023;244850;353
8022;244840;353
8018;244830;277
8017;244990;185
8015;244980;189
8014;244970;177
8012;244960;182
8011;244170;302
8010;244160;1052
8009;244150;1099
8005;244430;0
8003;244420;0
8001;244410;0
8000;243970;55
7999;244010;478
7998;244020;373
7997;243980;315
7995;243850;862
7994;243760;722
7992;243920;205
7990;243990;467
7988;243810;882
7986;243660;588
7985;243940;387
7984;243630;212
7983;243890;955
7980;243740;871
7979;243730;1053
7978;244140;398
7976;241320;0
7975;243610;0
7974;244000;208
7972;243840;324
7970;243900;729
7968;243830;257
7967;243930;214
7964;243860;260
7963;243960;161
7961;243780;348
7959;243870;969
7958;245030;642
7956;245050;119
7954;243770;524
7952;243750;1302
7949;243720;1086
7945;236270;1362
7942;236990;125
7941;237020;0
7940;237030;1085
7939;237050;62
7937;237000;661
7934;241970;47
7932;244450;57
7931;244400;0
7930;110;1398
7929;234;1656
7928;226;5281
7927;228;2527
7924;392;137
7923;59801;481
7922;241370;6331
7920;107;82
7919;247;811
7917;509;2452
7913;233;6294
7910;881;70
7906;249;3476
7905;187140;98
7903;187650;3640
7902;225;245
7900;201;0
7899;395;262
7898;772;7793
7897;244390;690
7896;244370;508
7894;244380;571
7892;244360;682
7891;244350;542
7890;244340;317
7886;116;2357
7884;71901;1654
7871;202510;68
7869;202510;68
7867;202510;68
7865;202500;81
7863;202480;0
7861;202480;0
7851;143580;578
7837;68901;1433
7823;AMBPR012;9987
7821;AMBGT014;9987
7813;241350;454
7811;159;6437
7809;155;2124
7807;233870;91
7805;233860;97
7803;243070;138
7797;237780;0
7779;226000;498
7777;225990;1145
7775;225980;690
7761;241340;0
7753;241130;226
7751;233580;143
7745;915;0
7529;239260;863
7523;69701;0
7497;999;670
7495;998;2058
7493;993;780
7491;99002;257
7489;98731;0
7485;98730P;484
7473;98711;922
7471;98710;379
7461;981;2004
7459;979;1767
7453;97610;428
7451;97609;310
7449;97608;17
7447;97607;72
7445;97606;54
7443;97605;3483
7441;97604;2602
7439;97603;1863
7437;97602;917
7435;97601;494
7433;976;1947
7431;97530;467
7429;97520;1867
7427;97501;2469
7425;97500;3077
7423;974;1342
7421;97380;2179
7391;97201;0
7389;972;315
7387;97104;0
7383;97101;37
7381;971;18
7379;97001;150
7377;970;0
7373;957;1096
7371;956;3595
7367;949;84
7361;946;1551
7359;945;230
7357;944;0
7355;943;965
7353;936;844
7351;934;64
7349;933;736
7347;931;244
7345;914;189
7343;913;331
7339;911;42
7337;910;190
7335;909;228
7333;907;316
7317;85804;2850
7315;85803;10402
7311;857;17303
7309;856;31851
7307;854;13856
7275;798;6437
7273;79701;8915
7271;797;9942
7267;795;11217
7265;794;1744
7261;789;884
7257;787;312
7255;785;5583
7253;78302;858
7249;781;6153
7247;777;4031
7245;771;9745
7241;756;577
7239;74101;686
7237;741;2905
7235;735B;11
7233;735;12
7229;733;20
7227;732;48
7225;731;24
7205;688;346
7203;684;33
7201;683;87
7199;681;100
7197;680;136
7195;679;124
7193;678;124
7189;651;102
7179;635;1301
7177;633;278
7175;632;1072
7173;631;0
7169;629;0
7167;628;0
7165;626A;0
7163;626;0
7155;620;314
7131;61003;637
7129;61002;688
7127;61001;0
7125;610;1533
7113;565;2610
7111;562;1571
7107;55201;3193
7105;552;1661
7103;55003;506
7101;55002;632
7099;550;510
7097;542;1850
7081;54104;40
7077;541;331
7075;539S;2012
7069;528;2228
7065;519;0
7061;516;339
7059;51201;13923
7057;50901;0
7053;508;4425
7031;45010;855
7027;44005;647
7023;440;93
6985;366;2984
6967;268;587
6965;24301;24
6963;243;120
6961;240;1158
6959;238;2159
6957;236;0
6953;220;2349
6949;202;1992
6939;19206;106
6927;18009;193
6925;18001;180
6919;154;8715
6915;145;3252
6911;139;5010
6905;126;339
6903;125;3785
6895;120;1300
6893;119;538
6829;013/991;89
6823;013/915;307
6821;331;0
6813;239410;986
6805;191250;0
6801;191240;0
6799;231410;272
6797;231460;129
6789;231400;329
6779;223230;0
6769;196100;42
6747;192310;809
6735;187640;1303
6733;69401;183
6731;694;199
6729;696;125
6727;693;567
6725;692;337
6723;625K;475
6721;623K;476
6719;621K;454
6715;625;1664
6713;623;2574
6711;621;1080
6707;870;165
6705;920;0
6703;867;8971
6699;574B;27
6691;235280;0
6685;237790;0
6683;237790;0
6681;232200;0
6679;235130;103
6677;235130;103
6675;237130;21
6673;237130;21
6669;202550;2037
6667;226510;22
6665;226510;22
6663;237120;30
6661;237120;30
6647;231500;0
6643;235360;975
6639;235400;195
6637;231560;6
6635;235380;489
6631;237110;2049
6627;235270;167
6625;237800;88
6623;235660;675
6619;201820;0
6617;187210;524
6615;185950;2048
6611;231550;5
6609;231380;22
6607;231350;9
6605;231340;13
6603;201630;8
6597;404;123
6595;406;161
6593;228280;491
6589;227320;518
6585;228260;167
6581;224560;233
6577;224540;0
6573;390;266
6565;231500;4
6563;180380;20
6537;237090;0
6535;236950;1159
6531;129;174
6529;128;306
6517;236430;1752
6509;236460;880
6507;235960;2091
6505;236310;2221
6503;234010;4242
6495;234020;460
6493;235340;688
6491;235370;932
6489;234490;9859
6481;233630;1153
6469;233250;444
6463;415270;1769
6461;415260;936
6457;234310;3023
6443;234350;118
6441;233400;649
6437;234340;467
6435;233370;879
6433;233390;706
6431;233380;708
6427;234110;30
6425;234140;0
6409;231570;40
6403;231580;4
6385;231750;0
6373;228270;373
6371;230850;36
6367;231800;20
6365;231740;22
6363;231750;0
6361;231820;10
6359;231780;0
6353;231810;29
6351;229520;1345
6349;222300;1347
6345;199730;111
6333;228830;117
6331;228820;36
6225;231830;7
6219;173030;317
6216;168670;296
6214;222140;4
6213;225020;698
6211;225000;611
6209;225010;1794
6205;226480;181
6203;226470;0
6199;226450;148
6197;226430;115
6193;222180;225
6141;221880;10
6123;221630;10
6119;221790;14
6105;226190;0
6097;226180;16
6079;221620;0
6027;226440;47
6015;226530;47
6011;223340;13
6009;223350;12
6007;223330;38
6003;226500;25
5995;226570;258
5971;223130;0
5909;201720;361
5905;223470;1570
5903;184020;992
5901;223030;478
5899;202570;3799
5897;223020;586
5891;204770;3252
5889;221480;5176
5881;222120;0
5855;201710;13
5853;231390;10
5851;201710;13
5849;201700;10
5847;201700;10
5845;201690;6
5843;201680;5
5841;201670;15
5839;201660;15
5837;201650;8
5835;201640;11
5833;201620;5
5831;201610;12
5829;201600;17
5827;201590;12
5825;201590;12
5823;201580;6
5821;201570;33
5819;201570;33
5817;201560;11
5815;201550;4
5813;201550;4
5811;201550;4
5807;201540;11
5805;201530;11
5803;201530;11
5801;201520;23
5799;201520;23
5751;200750;0
5743;200740;0
5741;202540;3277
5731;200480;18
5719;192850;18
5705;197690;10
5701;195020;27
5699;20382;56
5697;192840;43
5695;192820;8
5693;20379;19
5689;194970;6
5683;20383;4
5681;195070;35
5671;195030;20
5665;194980;38
5661;195010;12
5653;192860;47
5635;AMBPR010;9987
5621;AMBGT011;9987
5611;AMBCA004;9987
5609;AMBCA009;9987
5607;AMBCA008;9987
5605;AMBCA002;9987
5603;AMBCA001;9987
5575;174430;126
5523;199680;9989
5521;196360;0
5491;191270;0
5445;234030;706
5317;179790;277
5315;190770;51
5313;190760;84
5311;190750;59
5309;190740;90
5307;191760;1787
5265;190080;455
5263;236280;1073
5235;180420;31
5219;191960;983
5213;191920;984
5197;195030;20
5129;187120;556
5127;187520;0
5125;185880;664
5123;185870;2973
5121;185840;0
5117;187160;134
5113;186380;327
5111;186370;582
5109;186360;2677
5105;180600;22
5023;180590;32
4947;AMBCA006;9987
4945;AMBCA005;9987
4943;AMBCA004;9987
4941;AMBCA001;9987
4939;AMBCA004;9987
4937;AMBCA003;9987
4935;AMBCA002;9987
4933;AMBCA001;9987
4859;20382;56
4785;180330;3
4633;180720;18
4617;180680;82
4615;180670;36
4551;180450;42
4543;180430;11
4533;180400;14
4337;180420;31
4325;180380;20
4177;180310;24
3931;180410;11
3923;180390;0
3797;180830;53
3795;180820;15
3793;180810;45
3791;180800;0
3785;180790;12
3781;180350;17
3779;180340;5
3775;180320;16
3747;180460;28
3741;180440;11
3697;180620;0
3691;180600;22
3681;180560;25
3677;180550;41
3671;180530;55
3667;180520;18
3659;180500;18
3653;180660;27
3651;180650;0
3643;180760;16
3639;180750;27
3633;180740;61
3629;180730;10
3615;180690;16
3569;179800;462
3551;515001;32
3537;199260;114
3535;164560;253
3533;164550;778
3531;164540;884
3529;164530;1483
3527;164520;137
3491;164500;913
3481;164510;454
3471;201930;2002
3002;164760;0
2992;230200;947
2982;164750;456
2442;118;1947
2232;174660;60
2222;174590;240
2212;174580;730
2202;174570;791
2102;174540;34
2092;174530;51
2082;174520;14
2072;174510;19
2062;174500;0
2052;174490;12
2042;174480;40
2032;174470;53
1432;173050;344
1402;173020;453
1392;176320;139
1342;168690;245
1312;168680;231
1252;168660;238
1122;174410;36
1102;174390;31
337;166490;211
332;166500;0
330;174150;0
329;174160;8032
328;174880;0
327;177270;131
296;164410;294
287;448506;39
277;150950;231
274;194860;415
265;164570;1268
263;141920;2785
253;137580;1276
248;176270;295
247;174840;184
246;174876;539
244;179810;393
243;170970;0
242;170960;166
239;168940;0
237;164770;925
235;147810;120
234;147800;0
233;147790;272
200;AMBPR008;9987
199;AMBPR004;9987
198;AMBPR004;9987
197;AMBPR004;9987
196;AMBPR007;9987
195;AMBPR003;9987
194;AMBPR006;9987
193;AMBPR005;9987
192;AMBPR002;9987
191;AMBPR009;9987
190;AMBPR001;9987
189;AMBPR001;9987
188;AMBPR001;9987
187;AMBGT009;9987
186;AMBGT008;9987
185;AMBGT010;9987
184;AMBGT004;9987
183;AMBGT004;9987
182;AMBGT004;9987
181;AMBGT007;9987
180;AMBGT003;9987
179;AMBGT006;9987
178;AMBGT005;9987
177;AMBGT002;9987
176;AMBGT008;9987
175;AMBGT001;9987
174;AMBGT001;9987
173;AMBGT001;9987
172;AMBEL007;9987
171;AMBEL004;9987
170;AMBEL004;9987
169;AMBEL004;9987
168;AMBEL006;9987
167;AMBEL003;9987
166;AMBEL005;9987
165;AMBEL002;9987
164;AMBEL002;9987
163;AMBEL008;9987
162;AMBEL001;9987
161;AMBEL001;9987
160;AMBEL001;9987
159;180660;27
158;180620;0
157;180620;0
156;180390;0
155;180800;0
154;180790;12
153;194970;6
152;180460;28
150;180650;0
149;195020;27
147;180760;16
146;180830;53
145;180830;53
143;180720;18
142;180720;18
139;180740;61
138;180740;61
135;180670;36
134;232200;0
132;180590;32
131;180590;32
127;180520;18
126;180520;18
125;180500;18
124;180500;18
123;180500;18
121;180440;11
120;180440;11
118;180750;27
117;180730;10
116;180730;10
115;180680;82
114;180680;82
112;180560;25
111;180550;41
110;180550;41
109;180550;41
108;180530;55
107;180530;55
106;180430;11
105;192860;47
